Index,School,Rom,Math,Avg
1,Colegiul Naţional de Informatică "Tudor Vianu",10.00,10.00,10.00
2,Școala Gimnazială nr. 195,10.00,10.00,10.00
3,Colegiul Naţional "Grigore Moisil",10.00,10.00,10.00
4,Şcoala Gimnazială nr. 117,10.00,10.00,10.00
5,Colegiul Naţional "Gheorghe Lazăr",10.00,10.00,10.00
6,Școala Gimnazială nr. 97,10.00,10.00,10.00
7,Școala Gimnazială nr. 79,10.00,10.00,10.00
8,Colegiul Naţional "Grigore Moisil",10.00,10.00,10.00
9,Școala Gimnazială nr. 97,10.00,10.00,10.00
10,Liceul Teoretic „Sfinții Trei Ierarhi",10.00,10.00,10.00
11,Liceul Teoretic Internațional de Informatică Bucuresti,10.00,10.00,10.00
12,Şcoala Gimnazială "Herăstrău",10.00,10.00,10.00
13,Colegiul Naţional de Informatică "Tudor Vianu",10.00,10.00,10.00
14,Școala Gimnazială nr. 195,10.00,9.95,9.97
15,Colegiul Naţional "Gheorghe Lazăr",9.95,10.00,9.97
16,Colegiul German "Goethe",10.00,9.90,9.96
17,Colegiul Național "Școala Centrală”,10.00,9.90,9.95
18,Școala Gimnazială nr. 97,10.00,9.90,9.95
19,Colegiul Naţional de Informatică "Tudor Vianu",9.90,10.00,9.95
20,Colegiul Național ”Cantemir Vodă”,9.90,10.00,9.95